,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
671,1,1350,0.9992,0.001,0.95
672,2,1350,0.9992,0.001,0.95
673,0,1350,0.9992,0.001,0.95
674,0,1350,0.9992,0.001,0.95
675,2,1350,0.9992,0.001,0.95
676,4,1350,0.9992,0.001,0.95
677,4,1350,0.9992,0.001,0.95
678,0,1350,0.9992,0.001,0.95
679,3,1350,0.9992,0.001,0.95
680,2,1350,0.9992,0.001,0.95
681,1,1350,0.9992,0.001,0.95
682,0,1350,0.9992,0.001,0.95
683,3,1350,0.9992,0.001,0.95
684,2,1350,0.9992,0.001,0.95
685,1,1350,0.9992,0.001,0.95
686,5,1350,0.9992,0.001,0.95
687,3,1350,0.9992,0.001,0.95
688,3,1350,0.9992,0.001,0.95
689,1,1350,0.9992,0.001,0.95
